username,league,team,country,region,role,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,clutch_rate
kaajak,VCT Challengers,FNC,Poland,EMEA,Duelist,"[""Yoru"", ""Neon""]",1165,1.31,273.9,1.50,75,174.1,1.00,0.17,0.23,0.14,39,15
welyy,VCT Challengers,Blue,Norway,EMEA,Initiator,"[""Sova"", ""Fade""]",322,1.31,240.9,1.26,74,164.1,0.82,0.39,0.07,0.04,27,10
slathom999,VCT Challengers,GEEK,Philippines,Pacific,Initiator,"[""Sova""]",250,1.26,241.9,1.26,75,162.1,0.88,0.24,0.06,0.06,34,21
sultan,VCT Challengers,RVNT,Kazakhstan,EMEA,Controller,"[""Omen"", ""Viper""]",347,1.26,241.5,1.33,73,158.9,0.87,0.28,0.10,0.09,37,10
mada,VCT Challengers,NRG,Canada,Americas,Duelist,"[""Raze"", ""Jett""]",826,1.26,268.8,1.34,76,172.9,0.93,0.19,0.24,0.13,26,11
sonofcar,VCT Challengers,LS,United States,Americas,Flex,"[""Chamber"", ""Raze""]",434,1.24,257.6,1.32,75,171.0,0.94,0.20,0.24,0.13,26,24
Papi,VCT Challengers,GE,Philippines,Pacific,Controller,"[""Viper"", ""Omen""]",974,1.24,207.0,1.37,79,134.0,0.78,0.36,0.06,0.06,26,22
Lime,VCT Challengers,FKS,United Kingdom,EMEA,Duelist,"[""Jett"", ""Raze""]",804,1.24,247.4,1.34,72,158.7,0.88,0.22,0.15,0.13,34,22
xenom,VCT Challengers,STE,Brazil,Americas,Controller,"[""Omen"", ""Brimstone""]",796,1.23,213.4,1.27,75,141.1,0.79,0.34,0.08,0.06,36,16
wackie,VCT Challengers,DSY,Estonia,EMEA,Flex,"[""Raze"", ""Omen""]",631,1.23,230.8,1.34,78,147.4,0.82,0.36,0.11,0.08,29,20
LOB,VCT Challengers,VL,"Korea, Republic of",Pacific,Initiator,"[""Sova"", ""Gekko""]",747,1.23,224.4,1.28,78,149.5,0.82,0.31,0.05,0.04,31,18
YESicaN,VCT Challengers,FCY,Viet Nam,Pacific,Controller,"[""Viper"", ""Omen""]",485,1.23,223.6,1.23,78,151.5,0.77,0.42,0.08,0.06,33,18
Filu,VCT Challengers,DSY,Poland,EMEA,Duelist,"[""Jett"", ""Yoru""]",631,1.23,255.9,1.35,74,165.4,0.94,0.19,0.22,0.15,32,24
florescent,VCT Challengers,SR,Viet Nam,Pacific,Duelist,"[""Raze""]",323,1.23,267.9,1.23,71,178.2,0.92,0.22,0.17,0.14,26,15
alyaL,VCT Challengers,FPT,Viet Nam,Pacific,Flex,"[""Breach"", ""Cypher""]",488,1.22,241.7,1.25,73,161.3,0.85,0.30,0.10,0.10,29,24
Vuubit,VCT Challengers,GMB,Finland,EMEA,Controller,"[""Omen"", ""Viper""]",227,1.22,237.9,1.30,76,158.0,0.88,0.22,0.11,0.08,45,11
HYUNMIN,VCT Challengers,DRX,"Korea, Republic of",Pacific,Duelist,"[""Jett""]",230,1.22,272.8,1.28,74,180.4,0.95,0.18,0.20,0.10,27,5
ChiaWei,VCT Challengers,ONE,"Taiwan, Province of China",Pacific,Initiator,"[""Gekko"", ""Sova""]",368,1.21,214.6,1.29,75,142.4,0.80,0.28,0.05,0.05,41,24
Akai,VCT Challengers,FLC,United Arab Emirates,EMEA,Duelist,"[""Jett"", ""Raze""]",1341,1.21,277.4,1.34,72,177.3,0.96,0.17,0.20,0.17,27,24
ACE,VCT Challengers,FOC,Australia,Pacific,Flex,"[""Raze"", ""KAY/O""]",218,1.21,259.8,1.28,72,164.3,0.92,0.20,0.16,0.16,37,21
chase,VCT Challengers,OLP,Brazil,Americas,Controller,"[""Viper"", ""Omen""]",354,1.21,224.0,1.25,72,144.1,0.82,0.33,0.09,0.07,34,11
Palla,VCT Challengers,MIBR,Brazil,Americas,Duelist,"[""Raze"", ""Jett""]",675,1.21,275.7,1.27,75,179.1,0.96,0.18,0.22,0.16,30,21
Izzy,VCT Challengers,EF,Türkiye,Pacific,Duelist,"[""Jett"", ""Raze""]",714,1.21,261.6,1.33,73,167.0,0.93,0.16,0.21,0.15,28,14
Ruxic,VCT Challengers,FF,Türkiye,Pacific,Controller,"[""Viper""]",818,1.21,243.9,1.28,77,159.8,0.84,0.35,0.12,0.08,27,17
harambe,VCT Challengers,LGC,Latvia,EMEA,Duelist,"[""Raze"", ""Jett""]",779,1.20,245.8,1.26,71,162.7,0.88,0.19,0.18,0.13,23,14
Persia,VCT Challengers,SPG,"Korea, Republic of",Pacific,Controller,"[""Omen"", ""Viper""]",684,1.20,209.6,1.17,75,142.3,0.74,0.45,0.07,0.07,33,22
Sayonara,VCT Challengers,DVM,"Moldova, Republic of",EMEA,Flex,"[""Yoru"", ""Cypher""]",542,1.20,253.2,1.31,75,164.3,0.90,0.30,0.13,0.10,33,16
SpiritZ1,VCT Challengers,DRG,"Taiwan, Province of China",Pacific,Duelist,"[""Raze"", ""Jett""]",287,1.20,286.0,1.23,72,185.9,1.02,0.16,0.24,0.16,38,6
patrickWHO,VCT Challengers,GE,Philippines,Pacific,Duelist,"[""Raze"", ""Jett""]",294,1.20,279.7,1.28,73,177.7,1.01,0.17,0.18,0.17,29,14
Dragon,VCT Challengers,JJH,Indonesia,Pacific,Controller,"[""Brimstone"", ""Omen""]",684,1.20,227.6,1.27,73,145.5,0.81,0.38,0.10,0.11,35,19
c4Lypso,VCT Challengers,TU,Canada,Americas,Controller,"[""Omen"", ""Viper""]",616,1.19,239.8,1.23,72,154.9,0.86,0.29,0.12,0.09,33,14
splash,VCT Challengers,IGN,Indonesia,Pacific,Duelist,"[""Reyna"", ""Raze""]",517,1.19,273.2,1.24,75,179.4,0.94,0.21,0.22,0.14,25,14
v1c,VCT Challengers,C9,United States,Americas,Flex,"[""Omen"", ""Cypher""]",826,1.19,225.7,1.27,78,146.0,0.79,0.36,0.10,0.06,27,10
soulcas,VCT Challengers,APK,United Kingdom,EMEA,Flex,"[""Sova"", ""Viper""]",1165,1.19,225.2,1.31,75,146.7,0.79,0.39,0.08,0.07,36,16
LEW,VCT Challengers,JJH,United Kingdom,EMEA,Duelist,"[""Raze""]",684,1.19,245.2,1.31,73,163.7,0.86,0.17,0.13,0.10,26,25
Lar0k,VCT Challengers,BCF,Türkiye,Pacific,Flex,"[""Phoenix"", ""KAY/O""]",949,1.18,207.6,1.17,74,135.5,0.74,0.38,0.08,0.08,31,21
Verno,VCT Challengers,NRG,United States,Americas,Flex,"[""Killjoy"", ""Gekko""]",868,1.18,199.5,1.28,76,135.8,0.72,0.34,0.06,0.06,29,18
NagZ,VCT Challengers,RETA,Chile,Americas,Sentinel,"[""Killjoy"", ""Cypher""]",674,1.18,220.2,1.27,74,148.6,0.78,0.20,0.09,0.08,26,19
NOVAE,VCT Challengers,in a,N/A,N/A,Duelist,"[""Raze"", ""Jett""]",229,1.18,243.4,1.16,69,161.4,0.86,0.19,0.19,0.14,32,38
XXiF,VCT Challengers,QOR,Canada,Americas,Flex,"[""Viper"", ""Killjoy""]",930,1.18,219.4,1.27,75,148.8,0.78,0.22,0.09,0.06,27,13
PROFEK,VCT Challengers,BBL,Poland,EMEA,Controller,"[""Omen"", ""Viper""]",1230,1.18,214.0,1.29,76,142.0,0.78,0.35,0.09,0.07,29,14
kellyS,VCT Challengers,GE,Philippines,Pacific,Flex,"[""Harbor"", ""Raze""]",758,1.18,252.1,1.18,75,166.0,0.85,0.32,0.14,0.13,20,15
cortezia,VCT Challengers,RED,Brazil,Americas,Controller,"[""Viper"", ""Astra""]",966,1.18,213.4,1.21,77,141.4,0.76,0.39,0.08,0.07,35,21
Moh,VCT Challengers,TU,Saudi Arabia,EMEA,Flex,"[""Astra"", ""Chamber""]",1593,1.18,223.1,1.26,75,146.7,0.81,0.28,0.12,0.08,29,12
Happen,VCT Challengers,PXU,Germany,EMEA,Initiator,"[""Fade""]",245,1.17,218.8,1.17,76,146.5,0.77,0.33,0.07,0.05,25,16
brawk,VCT Challengers,MxS,United States,Americas,Flex,"[""Killjoy"", ""Skye""]",826,1.17,205.3,1.21,76,135.5,0.73,0.34,0.05,0.05,22,14
Dantedeu5,VCT Challengers,AK,Argentina,Americas,Duelist,"[""Raze"", ""Jett""]",1427,1.17,250.8,1.21,73,159.8,0.87,0.24,0.17,0.14,28,16
hiro,VCT Challengers,FNC,Netherlands,EMEA,Initiator,"[""KAY/O"", ""Skye""]",382,1.17,206.7,1.18,75,141.0,0.75,0.40,0.07,0.08,30,29
Leare,VCT Challengers,SKÅL,England,EMEA,Duelist,"[""Jett"", ""Raze""]",274,1.17,272.9,1.21,69,171.0,0.95,0.11,0.20,0.16,28,8
Vitie,VCT Challengers,EXO,Russian Federation,EMEA,Controller,"[""Astra"", ""Viper""]",930,1.17,227.9,1.13,76,148.7,0.80,0.39,0.08,0.07,29,25
AsLanM4shadoW,VCT Challengers,S2G,Türkiye,Pacific,Controller,"[""Omen"", ""Brimstone""]",314,1.17,234.7,1.15,76,154.2,0.83,0.29,0.05,0.06,31,21
dos9,VCT Challengers,BME,Kazakhstan,EMEA,Duelist,"[""Jett"", ""Raze""]",1028,1.17,240.8,1.25,74,156.0,0.85,0.20,0.14,0.11,27,16
FETA,VCT Challengers,AIC,New Zealand,Pacific,Duelist,"[""Raze"", ""Yoru""]",738,1.17,247.6,1.25,70,161.4,0.87,0.15,0.21,0.15,30,16
sh0twell,VCT Challengers,ZEN,Chile,Americas,Controller,"[""Omen"", ""Brimstone""]",492,1.17,237.0,1.16,72,157.9,0.81,0.34,0.13,0.12,24,12
Bizerra,VCT Challengers,TL,Brazil,Americas,Sentinel,"[""Killjoy"", ""Chamber""]",289,1.17,229.9,1.21,74,154.5,0.81,0.17,0.10,0.08,29,7
geeza,VCT Challengers,MU,United States,Americas,Sentinel,"[""Killjoy"", ""Cypher""]",401,1.17,223.7,1.24,73,150.4,0.86,0.14,0.11,0.08,32,22
EJAY,VCT Challengers,SZ,Philippines,Pacific,Duelist,"[""Raze"", ""Jett""]",207,1.17,251.2,1.17,76,167.8,0.88,0.30,0.15,0.13,26,15
Click,VCT Challengers,SK,Germany,EMEA,Duelist,"[""Jett""]",724,1.16,269.3,1.23,70,174.1,0.97,0.13,0.28,0.18,36,22
Kiuuuu,VCT Challengers,LGD,Hong Kong,Pacific,Controller,"[""Omen"", ""Viper""]",658,1.16,220.6,1.18,72,146.4,0.81,0.34,0.07,0.05,38,13
Kyu,VCT Challengers,AMB,Canada,Americas,Initiator,"[""Sova"", ""Fade""]",581,1.16,233.7,1.19,75,151.8,0.81,0.35,0.10,0.10,28,15
LAM,VCT Challengers,ARC,New Zealand,Pacific,Flex,"[""Phoenix"", ""Sova""]",288,1.16,241.3,1.20,67,159.8,0.89,0.16,0.13,0.14,35,26
Spaz,VCT Challengers,BLIN,United States,Americas,Controller,"[""Viper"", ""Omen""]",1284,1.16,202.6,1.13,76,130.6,0.69,0.46,0.07,0.07,21,24
Gwangboong,VCT Challengers,SG,"Korea, Republic of",Pacific,Duelist,"[""Jett"", ""Raze""]",736,1.16,246.5,1.19,75,162.3,0.86,0.19,0.21,0.14,24,19
kamyk,VCT Challengers,JL,Poland,EMEA,Flex,"[""Sage"", ""Breach""]",1024,1.16,216.5,1.19,75,144.6,0.79,0.38,0.07,0.09,33,19
Anq,VCT Challengers,VX3,Russian Federation,EMEA,Duelist,"[""Jett"", ""Raze""]",588,1.16,237.4,1.23,69,153.0,0.84,0.13,0.17,0.15,28,16
xeus,VCT Challengers,EF,Türkiye,Pacific,Duelist,"[""Raze"", ""Jett""]",1045,1.16,260.1,1.20,70,170.4,0.91,0.17,0.20,0.17,29,19
Sinaway,VCT Challengers,AIC,Australia,Pacific,Sentinel,"[""Cypher"", ""Killjoy""]",738,1.16,229.9,1.21,72,155.0,0.82,0.21,0.08,0.08,34,12
marky,VCT Challengers,OAS,Philippines,Pacific,Flex,"[""Jett"", ""Astra""]",758,1.16,224.5,1.21,78,144.4,0.81,0.32,0.13,0.12,23,9
B1SK,VCT Challengers,ZYG,Russian Federation,EMEA,Duelist,"[""Jett"", ""Raze""]",710,1.15,232.9,1.25,72,154.0,0.84,0.15,0.20,0.15,22,20
zeldris,VCT Challengers,QOR,United States,Americas,Duelist,"[""Jett""]",930,1.15,257.6,1.23,73,165.2,0.91,0.18,0.22,0.15,21,10
xuss,VCT Challengers,FKS,Poland,EMEA,Duelist,"[""Raze"", ""Jett""]",1271,1.15,242.2,1.25,73,155.7,0.86,0.14,0.22,0.13,25,12
krejzzs,VCT Challengers,FIVE,Poland,EMEA,Flex,"[""Raze"", ""Chamber""]",430,1.15,254.8,1.16,68,170.3,0.90,0.13,0.19,0.19,31,11
DaviH,VCT Challengers,CGN,Portugal,EMEA,Initiator,"[""Sova"", ""Fade""]",1402,1.15,199.1,1.19,73,137.6,0.70,0.30,0.06,0.05,23,15
azys,VCT Challengers,MOGO,Philippines,Pacific,Duelist,"[""Jett"", ""Raze""]",748,1.14,254.7,1.19,70,165.3,0.90,0.18,0.18,0.14,30,12
dzii,VCT Challengers,LESS,Singapore,Pacific,Flex,"[""Jett"", ""Cypher""]",417,1.14,222.0,1.21,76,149.6,0.82,0.22,0.08,0.08,28,18
Shiro,VCT Challengers,BME,Indonesia,Pacific,Flex,"[""Viper"", ""Sova""]",1192,1.14,217.5,1.13,77,145.9,0.75,0.45,0.10,0.09,24,18
Sato,VCT Challengers,GLRS,Brazil,Americas,Duelist,"[""Jett"", ""Raze""]",1650,1.14,248.9,1.21,69,157.3,0.87,0.14,0.18,0.15,31,14
Brinks,VCT Challengers,TBK,Brazil,Americas,Flex,"[""Omen"", ""Cypher""]",1145,1.14,210.8,1.20,77,133.4,0.75,0.36,0.07,0.06,27,16
Bob,VCT Challengers,Blue,Australia,Pacific,Initiator,"[""Sova"", ""Skye""]",509,1.14,213.8,1.17,75,143.7,0.76,0.30,0.09,0.05,31,14
NoMan,VCT Challengers,RA,Hong Kong,Pacific,Flex,"[""Viper"", ""Jett""]",221,1.14,210.5,1.01,71,132.5,0.74,0.22,0.15,0.14,24,14
Mephisto,VCT Challengers,6K,Mexico,Americas,Duelist,"[""Jett"", ""Raze""]",504,1.14,250.7,1.15,68,165.8,0.87,0.16,0.20,0.21,27,21
AvovA,VCT Challengers,APK,Denmark,EMEA,Controller,"[""Viper"", ""Omen""]",1165,1.14,188.7,1.22,78,122.8,0.70,0.36,0.07,0.07,40,28
murza,VCT Challengers,Dead,Australia,Pacific,Flex,"[""Chamber"", ""Reyna""]",571,1.14,232.1,1.19,74,152.6,0.81,0.22,0.13,0.11,23,13
xavi8k,VCT Challengers,NAOS,Philippines,Pacific,Sentinel,"[""Killjoy"", ""Cypher""]",758,1.14,220.8,1.16,75,148.5,0.77,0.29,0.08,0.08,24,17
waddle,VCT Challengers,DSY,United Kingdom,EMEA,Flex,"[""Sage"", ""Sova""]",631,1.14,194.3,1.20,79,131.1,0.70,0.33,0.06,0.05,30,22
rubkkoide,VCT Challengers,RETA,Argentina,Americas,Initiator,"[""Skye"", ""Sova""]",940,1.13,208.8,1.15,75,138.6,0.74,0.35,0.10,0.07,31,18
EvoLuZionz,VCT Challengers,ZEN,Chile,Americas,Flex,"[""Killjoy"", ""Phoenix""]",217,1.13,211.0,1.09,69,146.0,0.70,0.31,0.10,0.11,24,29
CyvOph,VCT Challengers,MDR,France,EMEA,Flex,"[""Raze"", ""Gekko""]",298,1.13,237.9,1.19,75,156.5,0.84,0.26,0.13,0.11,24,11
Minny,VCT Challengers,GN,Czechia,EMEA,Sentinel,"[""Cypher"", ""Killjoy""]",1230,1.13,216.4,1.24,73,143.7,0.78,0.19,0.09,0.07,31,18
Mihlog,VCT Challengers,FPT,Viet Nam,Pacific,Flex,"[""KAY/O"", ""Cypher""]",275,1.13,208.5,1.11,75,136.0,0.74,0.43,0.07,0.05,29,15
zhen,VCT Challengers,,"Taiwan, Province of China",Pacific,Duelist,"[""Reyna"", ""Raze""]",246,1.13,255.6,1.18,71,169.4,0.89,0.18,0.24,0.21,32,6
otaQ,VCT Challengers,PRVN,Mexico,Americas,Flex,"[""Breach"", ""Cypher""]",313,1.13,211.6,1.02,76,138.0,0.72,0.47,0.05,0.05,22,10
sickrey,VCT Challengers,R8,Russian Federation,EMEA,Initiator,"[""Skye"", ""Sova""]",1413,1.13,194.1,1.14,76,130.6,0.71,0.37,0.06,0.05,29,15
Notexxd,VCT Challengers,LS,Bermuda,Americas,Controller,"[""Viper"", ""Omen""]",507,1.13,216.0,1.14,76,142.4,0.77,0.39,0.11,0.09,35,22
binjo,VCT Challengers,KZ,Russian Federation,EMEA,Flex,"[""Gekko"", ""Jett""]",244,1.13,221.5,1.16,73,150.0,0.80,0.18,0.07,0.06,27,16
7ssk7,VCT Challengers,HGE,Belarus,EMEA,Initiator,"[""Skye"", ""KAY/O""]",1115,1.13,191.0,1.12,78,121.7,0.70,0.49,0.06,0.06,31,11
Flickless,VCT Challengers,UCAM,Belgium,EMEA,Flex,"[""Sage"", ""Breach""]",493,1.13,188.9,1.03,75,124.4,0.66,0.49,0.06,0.05,24,22
zander,VCT Challengers,100T,Canada,Americas,Controller,"[""Viper"", ""Omen""]",1424,1.13,225.3,1.16,76,142.6,0.79,0.40,0.11,0.10,27,17
Famouz,VCT Challengers,BME,Indonesia,Pacific,Duelist,"[""Raze"", ""Jett""]",1192,1.13,247.1,1.18,73,159.8,0.84,0.21,0.19,0.16,18,17
penny,VCT Challengers,G2,Canada,Americas,Duelist,"[""Raze"", ""Jett""]",720,1.13,239.9,1.18,73,157.4,0.82,0.19,0.16,0.14,22,14
PatMen,VCT Challengers,ZOL,Philippines,Pacific,Flex,"[""Raze"", ""KAY/O""]",981,1.13,242.0,1.15,74,158.7,0.86,0.29,0.16,0.11,33,16
JA,VCT Challengers,NAOS,Philippines,Pacific,Duelist,"[""Jett"", ""Yoru""]",974,1.12,232.5,1.22,73,153.7,0.84,0.21,0.15,0.14,27,10
pyrolll,VCT Challengers,ACE,Estonia,EMEA,Duelist,"[""Raze"", ""Jett""]",749,1.12,209.7,1.13,71,137.0,0.73,0.27,0.11,0.10,29,12
Jinboong,VCT Challengers,DFM,"Korea, Republic of",Pacific,Sentinel,"[""Killjoy"", ""Cypher""]",736,1.12,224.5,1.17,69,147.8,0.80,0.20,0.11,0.10,34,13
NoHelp,VCT Challengers,SKUL,Russian Federation,EMEA,Flex,"[""Sova"", ""Cypher""]",207,1.12,222.5,1.17,70,144.3,0.78,0.22,0.14,0.12,32,13
grumble,VCT Challengers,DSG,Singapore,Pacific,Initiator,"[""Sova"", ""Fade""]",984,1.12,216.8,1.18,75,148.0,0.78,0.29,0.07,0.06,38,12
Dambi,VCT Challengers,SPG,"Korea, Republic of",Pacific,Flex,"[""Viper"", ""Raze""]",694,1.12,242.3,1.14,73,155.1,0.83,0.24,0.17,0.16,23,19
koalanoob,VCT Challengers,M80,Canada,Americas,Flex,"[""Omen"", ""Jett""]",1424,1.12,233.3,1.20,73,147.2,0.82,0.25,0.19,0.13,21,15
wayne,VCT Challengers,DSG,Singapore,Pacific,Flex,"[""Jett"", ""Omen""]",982,1.12,217.6,1.15,74,140.9,0.77,0.30,0.10,0.07,28,18
PTC,VCT Challengers,FS,Thailand,Pacific,Flex,"[""Viper"", ""KAY/O""]",1255,1.12,199.7,1.16,75,130.6,0.72,0.39,0.09,0.08,28,23
Siduzord,VCT Challengers,STE,Brazil,Americas,Initiator,"[""Fade"", ""Sova""]",1407,1.12,206.0,1.14,74,136.0,0.73,0.30,0.07,0.07,26,13
david,VCT Challengers,RETA,Chile,Americas,Flex,"[""Astra"", ""Cypher""]",940,1.12,205.9,1.17,77,137.5,0.74,0.36,0.07,0.05,31,14
sociablEE,VCT Challengers,BBL,Türkiye,Pacific,Duelist,"[""Yoru"", ""Raze""]",818,1.12,220.9,1.17,78,143.7,0.76,0.33,0.09,0.07,26,11
1kuzohh,VCT Challengers,N5R,Chile,Americas,Duelist,"[""Raze""]",216,1.12,263.2,1.19,70,168.8,0.90,0.16,0.22,0.21,24,
woody,VCT Challengers,ARF,Indonesia,Pacific,Flex,"[""Reyna"", ""Killjoy""]",891,1.12,222.4,1.10,74,150.0,0.78,0.34,0.07,0.06,31,10
f1cio,VCT Challengers,ZYG,Viet Nam,Pacific,Controller,"[""Omen"", ""Viper""]",409,1.12,208.5,1.07,74,136.3,0.73,0.34,0.12,0.08,35,11
Jlerst,VCT Challengers,GAL,Türkiye,Pacific,Flex,"[""Killjoy"", ""Omen""]",631,1.12,214.8,1.21,77,139.5,0.78,0.34,0.09,0.06,31,14
BerserX,VCT Challengers,BME,Indonesia,Pacific,Sentinel,"[""Killjoy"", ""Chamber""]",1192,1.12,200.9,1.18,75,137.5,0.72,0.24,0.08,0.07,23,16
dcey,VCT Challengers,CD,N/A,N/A,Initiator,"[""Gekko"", ""KAY/O""]",212,1.12,225.7,1.18,73,145.4,0.86,0.20,0.09,0.09,44,23
Dasani,VCT Challengers,,Australia,Pacific,Flex,"[""Chamber"", ""Jett""]",346,1.11,225.1,1.16,72,153.4,0.80,0.18,0.19,0.12,33,6
Eso177,VCT Challengers,GMB,Bulgaria,EMEA,Sentinel,"[""Cypher"", ""Killjoy""]",1096,1.11,217.7,1.15,71,145.4,0.77,0.18,0.10,0.08,28,16
Avez,VCT Challengers,NASR,Egypt,EMEA,Flex,"[""Viper"", ""Sova""]",1115,1.11,209.6,1.11,74,142.1,0.75,0.31,0.07,0.08,30,15
mikeE,VCT Challengers,BLIN,United States,Americas,Sentinel,"[""Killjoy"", ""Cypher""]",1284,1.11,213.9,1.16,74,143.2,0.78,0.22,0.10,0.07,32,10
Katashio,VCT Challengers,CVU.NBG,United States,Americas,Duelist,"[""Jett""]",250,1.11,224.8,1.13,74,148.7,0.76,0.22,0.14,0.13,19,13
jcrueL,VCT Challengers,NBG,United States,Americas,Controller,"[""Viper"", ""Brimstone""]",366,1.11,209.8,1.09,74,137.4,0.73,0.37,0.07,0.08,21,23
Vera,VCT Challengers,DSG,Singapore,Pacific,Duelist,"[""Jett"", ""Raze""]",971,1.11,250.9,1.17,71,163.2,0.86,0.21,0.20,0.18,20,14
ZesBeeW,VCT Challengers,BME,Singapore,Pacific,Controller,"[""Viper"", ""Omen""]",1025,1.11,203.0,1.10,76,131.3,0.72,0.40,0.08,0.07,21,11
k1Ng,VCT Challengers,DRGN,Pakistan,Pacific,Initiator,"[""Breach"", ""Skye""]",475,1.11,228.4,1.07,73,152.1,0.79,0.28,0.10,0.08,21,13
freeing,VCT Challengers,DRX,"Korea, Republic of",Pacific,Flex,"[""Viper"", ""Cypher""]",751,1.11,224.4,1.18,70,148.7,0.80,0.17,0.10,0.08,34,9
Techno,VCT Challengers,OGS,India,Pacific,Controller,"[""Omen"", ""Viper""]",1179,1.11,208.6,1.12,75,135.9,0.74,0.37,0.09,0.07,28,17
Anima,VCT Challengers,EF,Türkiye,Pacific,Initiator,"[""Breach"", ""Skye""]",1045,1.11,199.8,1.06,77,134.9,0.69,0.46,0.06,0.06,26,13
AloNeFillz,VCT Challengers,NKT,Thailand,Pacific,Flex,"[""Sova"", ""Viper""]",645,1.11,199.2,1.13,74,134.8,0.70,0.29,0.07,0.04,25,14
ComeBack,VCT Challengers,BCF,Türkiye,Pacific,Flex,"[""Chamber"", ""Jett""]",949,1.11,254.0,1.20,71,164.2,0.89,0.16,0.19,0.16,28,14
bnj,VCT Challengers,ZEN,Argentina,Americas,Initiator,"[""Fade"", ""Sova""]",322,1.11,200.5,1.12,77,136.7,0.70,0.28,0.07,0.06,31,13
IKANA,VCT Challengers,GZL,Australia,Pacific,Initiator,"[""Fade"", ""Skye""]",967,1.11,205.2,1.15,74,135.2,0.75,0.33,0.06,0.07,26,16
Veqaj,VCT Challengers,ZER,France,EMEA,Initiator,"[""Skye"", ""KAY/O""]",617,1.11,208.7,1.11,75,136.9,0.74,0.36,0.10,0.09,23,15
Zanatsu,VCT Challengers,RED,Brazil,Americas,Duelist,"[""Jett"", ""Raze""]",966,1.11,255.1,1.16,71,165.2,0.86,0.20,0.24,0.17,24,13
bao,VCT Challengers,LS,Viet Nam,Pacific,Flex,"[""Clove"", ""Chamber""]",369,1.11,233.1,1.12,75,147.4,0.82,0.30,0.10,0.09,27,21
eXampL,VCT Challengers,DIV,Greece,EMEA,Flex,"[""Cypher"", ""Skye""]",710,1.11,193.9,1.11,74,130.0,0.70,0.36,0.06,0.06,27,7
spike,VCT Challengers,2G,Brazil,Americas,Flex,"[""Viper"", ""Gekko""]",1648,1.11,231.8,1.12,75,149.2,0.79,0.36,0.13,0.13,27,19
elllement,VCT Challengers,CGN,Serbia,EMEA,Duelist,"[""Raze"", ""Jett""]",1402,1.11,239.0,1.20,70,159.8,0.84,0.18,0.19,0.16,25,19
Kishi,VCT Challengers,FCY,Viet Nam,Pacific,Initiator,"[""Gekko"", ""Breach""]",421,1.11,201.3,1.06,77,131.3,0.72,0.44,0.06,0.05,33,15
corey,VCT Challengers,DZ,United States,Americas,Duelist,"[""Neon"", ""Yoru""]",923,1.11,223.5,1.11,73,150.3,0.78,0.29,0.15,0.13,28,16
K1LLERS,VCT Challengers,FPT,Viet Nam,Pacific,Duelist,"[""Raze"", ""Jett""]",488,1.11,220.3,1.10,76,146.1,0.76,0.35,0.13,0.08,24,16
al0rante,VCT Challengers,FKS,Germany,EMEA,Flex,"[""Viper"", ""Killjoy""]",869,1.11,219.5,1.15,69,145.4,0.78,0.21,0.08,0.07,41,14
westside,VCT Challengers,DIA,Poland,EMEA,Flex,"[""Killjoy"", ""Omen""]",1207,1.11,205.4,1.19,72,138.7,0.76,0.18,0.08,0.06,38,20
brk,VCT Challengers,SAW,Portugal,EMEA,Duelist,"[""Jett"", ""Raze""]",769,1.11,238.7,1.18,70,155.0,0.83,0.20,0.22,0.18,21,21
Ivy,VCT Challengers,SPG,"Korea, Republic of",Pacific,Initiator,"[""Sova"", ""Skye""]",694,1.10,209.1,1.13,76,135.0,0.74,0.30,0.08,0.07,33,19
signed,VCT Challengers,JJH,New Zealand,Pacific,Flex,"[""Fade"", ""Viper""]",684,1.10,196.7,1.13,74,132.6,0.70,0.29,0.08,0.05,29,17
f4ngeer,VCT Challengers,tras,Russian Federation,EMEA,Duelist,"[""Raze"", ""Jett""]",651,1.10,232.1,1.12,71,156.3,0.83,0.18,0.15,0.16,28,11
Bunny,VCT Challengers,F4Q,"Korea, Republic of",Pacific,Duelist,"[""Raze""]",438,1.10,234.2,1.09,71,157.5,0.81,0.20,0.13,0.14,19,24
P1nA,VCT Challengers,BAAM,Viet Nam,Pacific,Controller,"[""Viper"", ""Omen""]",240,1.10,206.3,1.09,72,139.1,0.73,0.33,0.08,0.08,34,15
Jesse,VCT Challengers,BAR,Czechia,EMEA,Controller,"[""Viper"", ""Omen""]",1364,1.10,209.7,1.12,70,137.0,0.75,0.31,0.08,0.08,33,16
Ash,VCT Challengers,FOX,"Korea, Republic of",Pacific,Duelist,"[""Jett"", ""Raze""]",509,1.10,229.7,1.12,70,148.8,0.81,0.17,0.20,0.18,28,27
ANDY,VCT Challengers,FC,Australia,Pacific,Duelist,"[""Iso"", ""Jett""]",404,1.10,217.5,1.13,75,146.7,0.78,0.28,0.14,0.13,22,12
Addicted,VCT Challengers,SAW,Portugal,EMEA,Initiator,"[""Sova"", ""Gekko""]",769,1.10,187.5,1.12,73,127.4,0.68,0.28,0.07,0.06,33,15
Ticey,VCT Challengers,SNS,United Kingdom,EMEA,Duelist,"[""Raze"", ""Jett""]",1187,1.10,238.3,1.14,71,155.8,0.83,0.19,0.19,0.17,19,14
Turko,VCT Challengers,FF,Türkiye,Pacific,Flex,"[""Cypher"", ""Skye""]",818,1.10,203.2,1.15,75,133.5,0.72,0.25,0.09,0.07,33,20
